"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","Opponent","Score","Ros","+/-","IP","ERA","WHIP","K","L","QS","K/BB","SVH","H/AB","R","RBI","HR","SB","SO","AVG","OPS","GP"
"*05itb*","Randy Vasquez","SD","SP","289","BOS","Reserve","27","@BAL Sun 1:35PM","64.84","78%","-6%","74.1","3.63","1.318","58","4","4","2.64","0","0/0","0","0","0","0","0","0",".000","14"
"*05133*","Andre Pallante","STL","SP","291","ALASKA","Active","27","@MIN Sun 2:10PM","64.74","49%","+4%","69.2","3.88","1.263","56","4","4","2.24","0","0/0","0","0","0","0","0","0",".000","13"
"*02buh*","Scott Barlow","ATH","RP","292","KCP","Active","33","COL Sun 3:05PM","64.74","15%","-2%","30.2","4.11","1.174","25","0","0","1.47","12","0/0","0","0","0","0","0","0",".000","32"
"*03d7h*","Mitch Keller","PIT","SP","293","ALASKA","Reserve","30","MIA Sun 12:15PM","64.72","89%","-4%","77","5.14","1.312","58","4","7","2.15","0","0/0","0","0","0","0","0","0",".000","14"
"*04mjn*","Eduard Bazardo","SEA","RP","302","SUGA","Active","30","@WSH Sun 1:35PM","64.08","23%","+1%","31.1","2.30","1.372","27","2","0","2.45","12","0/0","0","0","0","0","0","0",".000","33"
"*04pvu*","Stephen Kolek","KC","SP","303","DOB","Active","29","HOU Sun 2:10PM","64.06","59%","+1%","43","3.14","1.070","30","1","4","3.33","0","0/0","0","0","0","0","0","0",".000","7"
"*03dpg*","Kevin Ginkel","ARI","RP","312","MN","Reserve","32","@CIN Sun 1:40PM","63.65","17%","0%","26.2","2.70","1.087","30","2","0","4.29","4","0/0","0","0","0","0","0","0",".000","29"
"*04eud*","Shane Drohan","MIL","SP,RP","313","PAW","Active","27","PHI Sun 2:10PM","63.65","44%","+3%","42.2","3.59","1.172","44","2","1","4.00","3","0/0","0","0","0","0","0","0",".000","14"
"*04q1w*","Caleb Kilian","SF","SP,RP","314","ALASKA","Active","29","CHC Sun 3:10PM","63.63","31%","+1%","30.2","3.23","1.174","34","3","0","2.27","7","0/0","0","0","0","0","0","0",".000","29"
"*05wxw*","Gordon Graceffo","STL","RP","317","KCP","Active","26","@MIN Sun 2:10PM","63.41","12%","0%","33.2","2.14","0.921","17","1","0","1.31","5","0/0","0","0","0","0","0","0",".000","29"
"*050ok*","Yennier Cano","BAL","RP","318","BOS","Active","32","SD Sun 1:35PM","63.36","12%","0%","23.2","2.28","0.761","21","2","0","5.25","4","0/0","0","0","0","0","0","0",".000","31"
"*05aoc*","Eury Perez","MIA","SP","319","45s","Inj Res","23","@PIT Sun 12:15PM","63.27","93%","-1%","62.2","4.60","1.261","72","6","4","2.57","0","0/0","0","0","0","0","0","0",".000","12"
"*05jq2*","Andrew Abbott","CIN","SP","325","Rome","Active","27","ARI Sun 1:40PM","62.58","89%","-1%","74.2","4.10","1.406","53","4","6","1.61","0","0/0","0","0","0","0","0","0",".000","14"
"*05xpq*","Christian Scott","NYM","SP","326","SSP","Active","26","ATL Sun 1:40PM","62.52","63%","+3%","40.2","3.10","1.352","47","0","0","2.47","0","0/0","0","0","0","0","0","0",".000","9"
"*05y5d*","Bradgley Rodriguez","SD","RP","329","GOATS","Minors","22","@BAL Sun 1:35PM","62.21","15%","-1%","32.1","2.23","1.175","29","2","0","2.64","3","0/0","0","0","0","0","0","0",".000","29"
"*04eos*","Joey Cantillo","CLE","SP,RP","331","AKR","Active","26","DET Sun 1:40PM","61.76","75%","-7%","72","4.38","1.486","67","3","2","1.86","0","0/0","0","0","0","0","0","0",".000","15"
