#,Name,Age,Level,Team,Pos,Avg Rank,Coverage,BaGS,FScore,PG+,PLFR,OOPSY Peak,PARS,P.Tilt
"2784","Jake Eddington","25","A+","PHI","","2062.1","4","","1855","","1502","3346","","1546"
"2785","Aaron Savary","21","A","CLE","","","2","","","","1256","2872","",""
"2786","Carlos Cauro","21","A","HOU","","","1","","","","","2064","",""
"2787","Elvis Novas","23","A","KCR","","","2","","1009","","","3121","",""
"2788","Graham Osman","25","A+","CIN","","2065.4","4","","1752","","1486","3152","","1872"
"2789","Brooks Crawford","29","AAA","CIN","","","2","","1218","","","2914","",""
"2790","Garrett Pennington","25","A","DET","","","1","","","","","2066","",""
"2791","Bryan Rivera","21","A+","MIL","","2067.2","3","","1693","","1491","3018","",""
"2792","M.D. Johnson","28","AA","MIA","","","2","","1947","","","2188","",""
"2793","Antonio Gomez","24","A","NYY","","","1","","","","","2068","",""
"2794","Ryan Miller","30","MLB","DET","","2068.7","3","","2061","","","2236","","1909"
"2795","Miguel Gomez","24","AA","WSN","","","2","","1351","","","2788","",""
"2796","Xavier Ruiz","23","A+","SDP","","","2","","906","","","3236","",""
"2797","Franck De La Rosa","26","A+","PIT","","","1","","","","","2071","",""
"2798","Jose T. Perez","22","A","SFG","","","2","","","","","3274","","870"
"2799","Jesus Colina","21","CPX","CIN","","","1","","","","","2073","",""
"2800","Joel Cruz","22","CPX","LAD","","","2","","","","","3317","","830"
"2801","Brendan Hardy","26","AAA","COL","","","1","","","","","2075","",""
"2802","Orlando Gonzalez","23","A","PHI","","","2","","1027","","","3123","",""
"2803","Xavier Meachem","23","AA","MIA","","","2","","1322","","","2828","",""
"2804","Moises Amezquita","21","CPX","KCR","","","2","","","","","3466","","685"
"2805","Sam Brodersen","24","A+","WSN","","","2","","1264","","","2892","",""
"2806","Zane Morehouse","26","AA","CLE","","","2","","2019","","","2137","",""
"2807","Luke Savage","24","A+","TEX","","2078.3","4","","1908","","1400","3280","","1725"
"2808","Tyler Myrick","28","AAA","SFG","","","2","","1422","","","2735","",""
"2809","Magdiel Cotto","24","A+","PIT","","","2","","713","","","3445","",""
"2810","Richard Fernandez","23","A","ATH","","2079.3","3","","","","1538","3157","","1543"
"2811","Max Gieg","25","AA","LAA","","2079.4","4","","2001","","1487","3233","","1597"
"2812","Jorge Benitez","27","AAA","BOS","","","2","","1185","","","2975","",""
"2813","Fidel Montero","22","CPX","NYY","","","2","","","","","3119","","1044"
"2814","Hunter Omlid","26","A+","COL","","2082.1","4","","2019","","1472","3189","","1649"
"2815","Sam Whiting","25","AA","SEA","","2082.5","3","","2011","","1311","2926","",""
"2816","Wilker Reyes","24","A+","MIN","","","2","","1370","","","2798","",""
"2817","Bubba Hall","26","A+","WSN","","","2","","696","","","3473","",""
"2818","Cayne Ueckert","30","AAA","CHC","","","2","","1595","","","2575","",""
"2819","Wily Villar","27","A","TEX","","","2","","","","","3200","","970"
"2820","Ettore Giulianelli","23","A","CLE","","","2","","","","1412","2761","",""
"2821","Dariel Francia","19","A","PIT","","","2","","","","1442","2734","",""
"2822","Enyel Lopez","20","A","TEX","","","2","","","","","2436","","1740"
"2823","Jesus Montiel","19","CPX","PHI","","","1","","","","","2088","",""
"2824","Layonel Ovalles","23","A+","NYM","","","2","","1017","","","3160","",""
"2825","Anthony Watts","22","A","STL","","","2","","","","1207","2973","",""
"2826","Johan Macias","23","A+","LAA","","","1","","","","","2091","",""
"2827","Brandon Cain","21","A","PIT","","2093.0","3","","","","1306","3402","","1571"
"2828","Ramon Sanchez","24","A","MIA","","2094.3","3","","","","1478","3493","","1312"
"2829","P.J. Labriola","25","AA","BOS","","2094.9","4","","1916","","1445","3109","","1910"
"2830","Billy Sullivan","27","AAA","ATH","","","1","","","","","2096","",""
"2831","Ryan Brown","25","AAA","ATH","","2096.0","3","","2080","","1461","2747","",""
"2832","Geison Urbaez","25","AA","TOR","","2096.8","4","","1806","","1427","3332","","1822"
"2833","Victor Morales","24","AA","ARI","","","2","","1240","","","2954","",""
"2834","Bobby Milacki","29","AAA","TOR","","","2","","1499","","","2697","",""
"2835","Yovanny Cabrera","25","A+","CHC","","","2","","1150","","","3054","",""
"2836","Jeral Vizcaino","24","A","CHC","","","2","","1161","","","3043","",""
"2837","Ethan Hammerberg","25","A","CHW","","","1","","","","","2103","",""
"2838","Tommy Romero","28","MLB","SFG","","","2","","1855","","","2357","",""
"2839","Dillon Stiltner","19","CPX","NYM","","","1","","","","","2108","",""
"2840","Jorge Juan","27","AA","BOS","","","2","","2030","","","2187","",""
"2841","Ryan Middendorf","28","AAA","MIL","","","2","","1667","","","2550","",""
"2842","Jose Sanabria","23","A+","SDP","","","1","","","","","2110","",""
"2843","Eminen Flores","23","A+","TOR","","2110.5","3","","1943","","1208","3181","",""
"2844","Drew Ehrhard","27","AA","BOS","","","1","","","","","2111","",""
"2845","David Matoma","20","A","PIT","","2112.8","3","","2054","","1512","2773","",""
"2846","Rowdey Jordan","27","AA","HOU","","","1","","","","","2113","",""
"2847","Dylan Simmons","25","A+","CIN","","2113.3","3","","1797","","1469","3074","",""
"2848","Mark Adamiak","25","AA","ATH","","","2","","1283","","","2944","",""
"2849","Ryan Sublette","27","AAA","LAD","","","2","","1812","","","2419","",""
"2850","Hunter Alberini","24","A+","KCR","","","2","","","","1499","2737","",""
"2851","Phillip Sikes","27","AAA","BOS","","","1","","","","","2118","",""
"2852","Jose Garces","22","A+","PIT","","2118.4","4","","1693","","1354","3632","","1795"
"2853","Jake Christianson","26","AA","MIA","","","2","","1649","","","2592","",""
"2854","Allan Hernandez","25","AA","CLE","","","2","","897","","","3347","",""
"2855","Tommy Case","18","CPX","LAD","","","1","","","","","2122","",""
"2856","Paxton Thompson","26","A+","TEX","","","2","","1478","","","2768","",""
"2857","Sergio Tapia","23","A","DET","","","1","","","","","2123","",""
"2858","Case Matter","24","A+","TEX","","","2","","","","1407","2842","",""
"2859","Nick Weyrich","23","A","CHW","","2124.7","3","","","","1385","3176","","1813"
"2860","Dalton Roach","30","AAA","CHW","","","2","","1626","","","2624","",""
"2861","Brayan Palencia","23","A+","SFG","","2125.0","4","","1959","","1447","3277","","1817"
"2862","Luiyin Alastre","20","A+","MIL","","","1","","","","","2126","",""
"2863","Rafael Gonzalez","21","A","HOU","","2127.7","3","","2055","","","3380","948",""
"2864","Chaily Ramirez","21","CPX","CHC","","","2","","","","","3369","","888"
"2865","Trevor Long","25","A","SEA","","","1","","","","","2130","",""
"2866","Pedro Rodriguez","23","A","NYY","","","2","","","","1310","2951","",""
"2867","Keeler Morfe","20","A","BAL","","","1","","","","","2131","",""
"2868","Jesus Rios","24","A+","KCR","","2131.3","4","","2075","","1448","3165","","1837"
"2869","Indigo Diaz","27","AA","NYY","","","2","","1549","","","2719","",""
"2870","KK Clark","21","CPX","BAL","","","1","","","","","2135","",""
"2871","Roiger Mujica","20","CPX","LAD","","","1","","","","","2138","",""
"2872","Kade Woods","23","A","ATL","","","2","","","","1391","2887","",""
"2873","Jake Peppers","24","A+","CHW","","2141.5","4","","1700","","1507","3460","","1899"
"2874","Riskiel Tineo","23","AAA","MIA","","","2","","1610","","","2673","",""
"2875","Ian Bedell","26","AAA","STL","","","2","","2068","","","2216","",""
"2876","Gabe Starks","24","A","CIN","","","2","","968","","","3318","",""
"2877","Juanyerlin Duran","18","CPX","BOS","","","1","","","","","2144","",""
"2878","Jaycob Deese","26","AA","PIT","","2144.4","4","","2110","","1401","3164","","1903"
"2879","Luis German","24","A+","SDP","","2145.9","4","","2007","","1534","3195","","1848"
"2880","Jacob Weaver","23","CPX","WSN","","","1","","","","","2149","",""
"2881","Mike Villani","23","A","CIN","","2149.0","3","","","","1329","3485","","1633"
"2882","Manuel Beltre","22","A","TOR","","","1","","","","","2150","",""
"2883","Jake Fitzgibbons","24","A+","ARI","","","2","","1071","","","3231","",""
"2884","Cannon Pickell","23","A+","MIA","","","2","","","","1479","2823","",""
"2885","Zach Arnold","25","A+","PHI","","","1","","","","","2151","",""
"2886","Luis Pacheco","27","AAA","NYY","","","2","","1580","","","2723","",""
"2887","Cory Ronan","24","A+","KCR","","2151.3","3","","","","1490","3094","","1870"
"2888","Benjamin Arias","24","A+","STL","","","2","","990","","","3313","",""
"2889","Randy Labaut","29","AAA","PIT","","","2","","1693","","","2613","",""
"2890","Mat Olsen","25","AA","SFG","","","1","","","","","2156","",""
"2891","Michael Dominguez","25","AA","TOR","","","2","","1923","","","2393","",""
"2892","Jeferson Villabona","25","A+","SDP","","","2","","","","1405","2913","",""
"2893","Tanner Hall","24","A+","MIN","","","2","","1610","","","2712","",""
"2894","Christian Astudillo","19","CPX","BAL","","","1","","","","","2163","",""
"2895","Matthew DesMarets","22","A","MIN","","2164.7","3","","","","1449","3334","","1711"
"2896","Daniel Nunez","23","A+","ARI","","2167.0","3","","1865","","1520","3116","",""
"2897","Kyle Hess","27","A+","MIN","","","1","","","","","2169","",""
"2898","Michael De La Cruz","19","CPX","TOR","","","1","","","","","2170","",""
"2899","Casey Steward","24","A+","PHI","","","2","","1370","","","2978","",""
"2900","Jhosmer Alvarez","25","AA","ARI","","","2","","1429","","","2922","",""
"2901","Carlton Perkins","23","A","CHW","","","2","","1681","","","2670","",""
"2902","Carlo Reyes","27","AA","CHC","","","1","","","","","2176","",""
"2903","Denny Larrondo","24","A+","ARI","","","2","","1515","","","2838","",""
"2904","Ethan Schiefelbein","20","CPX","DET","","","1","","","","","2177","",""
"2905","Emilio Barreras","22","A","MIA","","","1","","","","","2179","",""
"2906","Tres Gonzalez","25","AA","PIT","","","1","","","","","2181","",""
"2907","Michael Mariot","37","MLB","SEA","","","2","","1985","","","2378","",""
"2908","Jefferson Valladares","24","A","MIN","","","1","","","","","2182","",""
"2909","Jose Luis Reyes","23","A+","SDP","","","2","","1903","","","2468","",""
"2910","Jacob Cravey","24","A+","BAL","","2187.5","4","","1630","","1511","3750","","1859"
"2911","Cooper McGrath","25","A","SFG","","2188.3","3","","","","1481","3527","","1557"
"2912","Seojun Moon","19","CPX","TOR","","","2","","","","","2979","","1398"
"2913","Leonardo Rossell","21","CPX","DET","","","1","","","","","2191","",""
"2914","Luis Lameda","20","A","MIL","","","2","","","","1589","2793","",""
"2915","Cameron Pferrer","27","AAA","SFG","","","2","","1725","","","2658","",""
"2916","Alberto Mota","23","A","TEX","","","1","","","","","2192","",""
"2917","Henry Cone","23","A","CHC","","","2","","","","1485","2903","",""
"2918","Javier Bartolozzi","21","A","LAD","","2195.0","3","","","","1367","3599","","1619"
"2919","Itsuki Takemoto","22","A","OAK","","2196.0","3","","","","1489","3197","","1902"
"2920","Adam Boucher","24","A+","WSN","","2196.1","4","","1878","","1529","3494","","1884"
"2921","Jason Shockley","23","A","BAL","","","2","","","","1318","3076","",""
"2922","D.J. Carpenter","26","AA","STL","","2197.5","3","","2035","","","2959","","1599"
"2923","Marco Eluscat","19","CPX","SDP","","","1","","","","","2199","",""
"2924","Eliezer Pena","20","CPX","COL","","","2","","","","","3174","","1225"
"2925","Hunter Stovall","29","AA","TBR","","","1","","","","","2201","",""
"2926","Samuel Vasquez","26","AA","MIA","","2201.2","3","","1642","","1586","3376","",""
"2927","Diego Dominguez","21","A","TOR","","2202.0","3","","","","1419","3448","","1739"
"2928","Jholbran Herder","21","A","LAD","","2202.1","4","","2057","","1468","3597","","1687"
"2929","Graysen Tarlow","24","A+","STL","","","1","","","","","2203","",""
"2930","Ethan Sloan","23","A+","DET","","2204.8","3","","1642","","1482","3491","",""
"2931","Mason McConnaughey","22","CPX","TEX","","","1","","","","","2205","",""
"2932","Austin Testerman","24","CPX","CLE","","","1","","","","","2207","",""
"2933","Darwin Rodriguez","21","A","MIA","","","1","","","","","2208","",""
"2934","Adolfo Miranda","19","CPX","NYM","","","1","","","","","2211","",""
"2935","Ronaldo Gallo","25","CPX","PIT","","","1","","","","","2212","",""
"2936","Randy Ramnarace","21","A","KCR","","2214.7","3","","","","1462","3405","","1777"
"2937","Jose Geraldo","27","AA","SDP","","","2","","1411","","","3027","",""
"2938","William Silva","24","A+","ATL","","","2","","1486","","","2958","",""
"2939","Jake Bockenstedt","26","AA","CHW","","2222.2","3","","1916","","","3112","","1639"
"2940","Beau Philip","27","AA","TOR","","","1","","","","","2223","",""
"2941","Dominic Scheffler","21","A","CIN","","2223.3","3","","","","1467","3273","","1930"
"2942","Jake Jekielek","23","A","TEX","","2224.9","4","","1985","","1484","3558","","1873"
"2943","Frenny Grant","22","CPX","DET","","","2","","","","","3545","","907"
"2944","Hunter Kublick","22","A","STL","","","2","","1865","","","2589","",""
"2945","Nick Richmond","28","AAA","BAL","","","2","","1834","","","2622","",""
"2946","Austin Murr","27","AA","PHI","","","1","","","","","2229","",""
"2947","Yeri Perez","21","A","KCR","","2229.1","4","","1974","","1543","3459","","1941"
"2948","Ben Ramirez","27","AA","SEA","","","1","","","","","2230","",""
"2949","Jorge Nunez","18","CPX","ATL","","","1","","","","","2231","",""
"2950","Wilfred Alvarado","20","A","ATH","","","2","","","","1590","2873","",""
"2951","Carter Holjes","25","CPX","MIN","","","2","","","","","3403","","1062"
"2952","Josh Blum","23","A+","NYM","","","2","","1248","","","3220","",""
"2953","Tony Gonzalez","22","CPX","PIT","","","1","","","","","2235","",""
"2954","Hamlet Garcia","20","CPX","MIA","","","2","","","","","3083","","1388"
"2955","Joseph Herrera","20","A","SDP","","2236.3","3","","","","1411","3484","","1814"
"2956","Karl Kauffmann","28","MLB","COL","","","2","","2116","","","2359","",""
"2957","Giomar Diaz","23","A+","ATL","","","2","","1342","","","3134","",""
"2958","Dustin Saenz","27","AAA","TEX","","","2","","1964","","","2513","",""
"2959","Ben DeTaeye","25","A+","TEX","","","1","","","","","2239","",""
"2960","Deiker Pineda","20","CPX","TOR","","","2","","","","","3507","","971"
"2961","Peyton Powell","25","A+","TOR","","","1","","","","","2240","",""
"2962","Samuel Savinon","19","CPX","LAD","","","1","","","","","2243","",""
"2963","Gabriel Aguilera","25","A+","CIN","","","2","","1531","","","2957","",""
"2964","J.J. Niekro","28","AA","ATL","","","1","","","","","2244","",""
"2965","Jatnk Diaz","21","A","DET","","2244.7","3","","","","1349","3521","","1864"
"2966","Cal Riehl","23","A","SDP","","","2","","","","1439","3051","",""
"2967","J.P. Massey","26","A+","PIT","","","2","","1240","","","3251","",""
"2968","Adam Bates","20","A+","BOS","","2245.4","4","","2130","","1220","3713","","1919"
"2969","Brandon Herbold","21","A","KCR","","","2","","","","1342","3151","",""
"2970","Renil Ramos","20","CPX","CLE","","","1","","","","","2247","",""
"2971","Edwin Nunez","24","AA","STL","","2247.5","3","","2114","","1494","3135","",""
"2972","Ryan Mathiesen","23","A","HOU","","2249.0","3","","","","1455","3587","","1705"
"2973","Julio Rosario","23","A","KCR","","","2","","1058","","","3441","",""
"2974","Jared Beck","25","A+","WSN","","2249.9","4","","1878","","1548","3727","","1847"
"2975","Jacob Shafer","24","A+","ATL","","2251.0","4","","2111","","1496","3463","","1934"
"2976","Xiomer Guacache","22","A","DET","","2253.3","3","","","","1599","3762","","1399"
"2977","Kaiden Wilson","22","A","MIA","","","1","","","","","2254","",""
"2978","Nate Wohlgemuth","25","A+","HOU","","","2","","","","1518","2997","",""
"2979","Roel Garcia III","27","AAA","TBR","","2257.5","3","","2078","","","2857","","1838"
"2980","Fernando Vasquez","24","A","SFG","","2257.7","3","","","","1524","3574","","1675"
"2981","Matthew Linskey","24","A+","HOU","","","1","","","","","2258","",""
"2982","Luis Espinoza","19","CPX","BAL","","","1","","","","","2259","",""
"2983","Blake Cederlind","30","AA","ARI","","","1","","","","","2260","",""
"2984","Nick Wissman","25","A+","SDP","","","2","","1730","","","2790","",""
"2985","Carter Dorighi","23","A","SEA","","","1","","","","","2263","",""
"2986","Sean Barnett","23","A+","SDP","","2264.7","3","","","","1498","3464","","1832"
"2987","Maikel Hernandez","23","A","STL","","","1","","","","","2265","",""
"2988","Nicholas Regalado","24","AA","KCR","","","2","","1667","","","2864","",""
"2989","Santiago Rojas","19","CPX","MIN","","","2","","","","","2852","","1680"
"2990","Josh Timmerman","23","A+","MIL","","","2","","1468","","","3072","",""
"2991","Dalvin Rosario","26","A","CIN","","","1","","","","","2270","",""
"2992","Zach Harris","22","A","COL","","","1","","","","","2271","",""
"2993","Noah Palmese","22","A","TOR","","2272.0","3","","","","1564","3685","","1567"
"2994","J.D. Hennen","23","A","BAL","","","2","","","","1454","3091","",""
"2995","Connor Housley","24","A+","CHW","","","1","","","","","2273","",""
"2996","Kaden Hollow","25","A+","SDP","","","1","","","","","2274","",""
"2997","Victor Torres","25","AA","MIL","","","1","","","","","2275","",""
"2998","Kevin Davis","27","A","WSN","","","1","","","","","2276","",""
"2999","Nien-Hsi Yang","19","CPX","SFG","","","1","","","","","2279","",""
"3000","Jonathan Stevens","22","A","MIN","","2280.7","3","","","","1339","3618","","1885"
"3001","Miguel Toscano","20","CPX","TBR","","","2","","","","","3262","","1301"
"3002","Chase Adkison","26","A+","STL","","","1","","","","","2282","",""
"3003","Felix Ramires","26","A+","COL","","","2","","1202","","","3363","",""
"3004","Choyce Diffey","23","A","CHW","","","2","","","","1410","3156","",""
"3005","Jhon Reyes","22","A","KCR","","2284.3","3","","","","1443","3583","","1827"
"3006","Joe Nahas","26","AA","CHC","","","2","","1706","","","2863","",""
"3007","Yoan Valdez","20","A","DET","","","2","","","","1581","2988","",""
"3008","Weston Eberly","25","A+","CHW","","","1","","","","","2285","",""
"3009","Jeury Espinal","19","CPX","ARI","","","2","","","","","3576","","995"
"3010","Ike Buxton","25","AA","WSN","","","2","","1693","","","2879","",""
"3011","Noah Takacs","24","A","PIT","","2288.6","4","","2054","","1432","3816","","1853"
"3012","Brayner Sanchez","25","A","BAL","","","1","","","","","2291","",""
"3013","Joseilyn Gonzalez","24","A+","LAD","","2291.7","3","","1929","","1488","3458","",""
"3014","Luis Carrasco","24","A+","OAK","","2292.7","3","","2106","","1516","3256","",""
"3015","Zach Willeman","30","AAA","CIN","","","2","","2112","","","2474","",""
"3016","Joe Scarborough","22","A","NYM","","2293.3","3","","","","1431","3673","","1776"
"3017","Andrew Thurman","34","AAA","SDP","","","2","","","","","2729","","1860"
"3018","JJ Sanchez","26","A+","TOR","","","2","","1264","","","3326","",""
"3019","Sam Weatherly","27","AA","COL","","2295.7","3","","2085","","","3106","","1696"
"3020","Bernard Mack","20","A","STL","","","1","","","","","2296","",""
"3021","Cesar Gomez","27","AAA","ARI","","","2","","1988","","","2608","",""
"3022","Earle Zulueta","19","CPX","STL","","","2","","","","","3070","","1526"
"3023","Tanner Shears","27","A+","MIL","","","1","","","","","2298","",""
"3024","Tommy Hawke","23","A","CLE","","","1","","","","","2299","",""
"3025","Zack Showalter","22","A+","STL","","","2","","1949","","","2650","",""
"3026","Ben Hernandez","24","A+","SEA","","","2","","1903","","","2700","",""
"3027","Chris Wright","27","AAA","SFG","","","1","","","","","2303","",""
"3028","David Avitia","27","A+","CHC","","","1","","","","","2304","",""
"3029","Holden deJong","22","CPX","BAL","","","1","","","","","2305","",""
"3030","Robert Wegielnik","24","A+","CLE","","","2","","1797","","","2813","",""
"3031","Dilan Fernandez","21","CPX","SFG","","","1","","","","","2306","",""
"3032","Junior Flores","24","A+","PIT","","","2","","1642","","","2974","",""
"3033","Juan Lopez","21","CPX","WSN","","","2","","","","","3517","","1104"
"3034","Ramon Suarez","22","A","TOR","","","1","","","","","2311","",""
"3035","Pedro Garcia","24","A","DET","","2311.6","4","","2074","","1509","3890","","1774"
"3036","Jhonny Jimenez","22","A","LAD","","2312.0","4","","1991","","1521","3830","","1906"
"3037","Brian Arias","22","A","NYY","","2312.3","3","","","","1501","3710","","1726"
"3038","Jank Pichardo","21","CPX","HOU","","","1","","","","","2313","",""
"3039","Ronny Chalas","23","A","DET","","","2","","860","","","3771","",""
"3040","Frainyer Chavez","27","AA","TEX","","","1","","","","","2318","",""
"3041","Cole Paplham","26","AA","SDP","","","1","","","","","2319","",""
"3042","James Tallon","22","A","PHI","","","2","","","","1610","3031","",""
"3043","Collin Rothermel","23","A","ARI","","","1","","","","","2322","",""
"3044","Jordarlin Mendoza","22","A","NYY","","","2","","","","1374","3271","",""
"3045","Junior Santos","24","AA","WSN","","","2","","1400","","","3248","",""
"3046","Lorenzo Encarnacion","24","A+","ARI","","","2","","1991","","","2657","",""
"3047","Aaron Haase","26","A+","DET","","","1","","","","","2325","",""
"3048","Berny Ortiz","20","CPX","BOS","","","2","","","","","3024","","1626"
"3049","Cristian Aray","19","CPX","SEA","","","2","","","","","3622","","1028"
"3050","Drew Conover","24","AAA","CHW","","2325.9","4","","2130","","1522","3778","","1874"
"3051","Nick Kahle","28","AAA","MIL","","","1","","","","","2327","",""
"3052","Ruben Galindo","25","A+","SDP","","","1","","","","","2328","",""
"3053","Jefferson Jean","21","A","OAK","","","2","","1919","","","2740","",""
"3054","Dominic Hambley","23","A+","CHC","","","2","","1383","","","3278","",""
"3055","Dony Aguilera","19","CPX","CIN","","","2","","","","","3230","","1433"
"3056","Ricky DeVito","27","AA","TEX","","","2","","1478","","","3185","",""
"3057","Victor Santos","19","CPX","BAL","","","1","","","","","2332","",""
"3058","Jackson Fristoe","25","A+","NYY","","","2","","1255","","","3416","",""
"3059","Jeremy Lee","24","A+","MIN","","","2","","1830","","","2843","",""
"3060","Diosfran Cabeza","23","A","ARI","","","1","","","","","2337","",""
"3061","Josh Harlow","25","A+","CLE","","","2","","1307","","","3371","",""
"3062","Gerardo Gutierrez","27","AA","ARI","","","2","","1974","","","2706","",""
"3063","Luisberth Valdez","18","CPX","ATL","","","2","","","","","2799","","1882"
"3064","Ian Medina","21","A","MIA","","","2","","","","1441","3242","",""
"3065","Roman Phansalkar","28","AA","LAA","","","2","","1618","","","3065","",""
"3066","Ignacio Briceno","25","A","DET","","","2","","1121","","","3563","",""
"3067","Justin Trimble","23","A","HOU","","","1","","","","","2343","",""
"3068","Ryan Heppner","21","A+","ATL","","","1","","","","","2345","",""
"3069","Anyelo Ovando","25","A+","SEA","","","2","","1084","","","3608","",""
"3070","Alan Reyes","22","A","STL","","","1","","","","","2348","",""
"3071","Hector Campusano","19","CPX","BAL","","","1","","","","","2349","",""
"3072","Jeremy Gonzalez","21","A","CHW","","2349.0","3","","","","1561","3723","","1763"
"3073","Garrett Irvin","27","AAA","OAK","","","1","","","","","2351","",""
"3074","Gabriel Jackson","24","AAA","BOS","","","2","","1541","","","3163","",""
"3075","Danny Wirchansky","28","AA","SEA","","","2","","1693","","","3012","",""
"3076","Drew Vogel","24","A+","HOU","","","1","","","","","2353","",""
"3077","Josh Wolf","25","A+","SFG","","","2","","1572","","","3137","",""
"3078","Randy Wynne","33","MLB","CIN","","","2","","2082","","","2628","",""
"3079","Jose Feliz","20","CPX","WSN","","","1","","","","","2355","",""
"3080","Madison Jeffrey","26","A+","CHW","","2355.5","3","","2044","","1531","3492","",""
"3081","Nick Krauth","26","AAA","TEX","","","2","","2062","","","2651","",""
"3082","Candido Cuevas","22","A","NYM","","","1","","","","","2362","",""
"3083","Ryan Cardona","26","AAA","CIN","","","2","","1945","","","2781","",""
"3084","Tommy Mace","27","AAA","CLE","","2362.8","3","","1988","","","3178","","1923"
"3085","Anderson Ramos","20","CPX","MIN","","","1","","","","","2364","",""
"3086","Rowell Arroyo","21","A","CHC","","","1","","","","","2365","",""
"3087","Luis Victorino","23","A","TOR","","2365.7","3","","","","1444","3798","","1855"
"3088","Jake Pfennigs","26","AAA","OAK","","","2","","1737","","","2995","",""
"3089","Michael Stryffeler","30","AAA","SFG","","","1","","","","","2366","",""
"3090","Ismael Cabral","22","CPX","TBR","","","1","","","","","2369","",""
"3091","Conor Steinbaugh","27","A+","HOU","","2369.2","3","","2023","","","3433","","1652"
"3092","Iverson Espinoza","23","A","CIN","","","1","","","","","2372","",""
"3093","Albert Rivas","23","A","ATL","","","2","","1297","","","3457","",""
"3094","Chase Valentine","24","AA","SDP","","","1","","","","","2377","",""
"3095","JP Wheat","23","A+","CHC","","2377.3","3","","2068","","1544","3520","",""
"3096","Connery Peters","26","A+","CHW","","","2","","1175","","","3582","",""
"3097","Cody Tucker","27","A+","SFG","","","2","","1370","","","3388","",""
"3098","Noah Ruen","23","A+","LAD","","","2","","1737","","","3023","",""
"3099","Mitch Neunborn","29","AAA","PHI","","","2","","2094","","","2668","",""
"3100","Cole Urman","24","A","BAL","","","1","","","","","2381","",""
"3101","Matthew Bollenbacher","26","AAA","WSN","","","2","","1084","","","3680","",""
"3102","Blaze Pontes","26","AA","ATH","","2382.7","3","","1934","","","3373","","1841"
"3103","Abel Lorenzo","20","CPX","LAD","","","1","","","","","2383","",""
"3104","Yander Bonaci","19","CPX","BOS","","","1","","","","","2386","",""
"3105","Juan Mercedes","24","A+","MIN","","","2","","1865","","","2908","",""
"3106","Casey Kelly","36","MLB","CIN","","","2","","2126","","","2648","",""
"3107","Jake Faherty","23","A","MIA","","2391.5","3","","1926","","1555","3694","",""
"3108","Franyel Diaz","21","A","NYM","","","1","","","","","2392","",""
"3109","Ryan Shreve","28","AAA","TBR","","","2","","1865","","","2919","",""
"3110","Joan Pena","18","CPX","MIL","","","2","","","","","3239","","1547"
"3111","Eligio Arias","23","A","PHI","","","1","","","","","2395","",""
"3112","Angel Gonzalez","23","A+","STL","","","2","","1255","","","3539","",""
"3113","Logan Britt","25","A+","LAA","","","2","","2035","","","2763","",""
"3114","Colton Johnson","27","AA","OAK","","","2","","1971","","","2833","",""
"3115","Felix Amparo","20","A","BAL","","","1","","","","","2402","",""
"3116","Franco Zabaleta","19","CPX","OAK","","","2","","","","","3192","","1612"
"3117","Dylan Hecht","32","AA","SFG","","2402.7","3","","2120","","","3302","","1786"
"3118","Matt Dunaway","27","A+","SFG","","","1","","","","","2404","",""
"3119","Wardquelin Vasquez","24","A","CHW","","","2","","1232","","","3579","",""
"3120","Jake Steels","24","A","ATL","","","1","","","","","2407","",""
"3121","Ma'Kale Holden","19","CPX","MIL","","","2","","","","","3238","","1577"
"3122","Victor Rodriguez","19","CPX","MIA","","","2","","","","","3226","","1600"
"3123","Jordan Marks","27","AA","DET","","","1","","","","","2418","",""
"3124","Andrew Pogue","25","A","DET","","2418.3","3","","","","1536","3818","","1901"
"3125","Arij Fransen","25","AAA","CIN","","","2","","1816","","","3021","",""
"3126","Antoni Cuello","23","A","STL","","2421.7","3","","","","1527","3845","","1893"
"3127","Ross Dunn","24","A+","MIN","","","2","","1949","","","2895","",""
"3128","Anthony Prato","28","AAA","MIN","","","1","","","","","2422","",""
"3129","Jonawel Valdez","22","A","MIA","","","2","","1297","","","3553","",""
"3130","Luis Beltran","22","A","BAL","","","2","","","","1547","3303","",""
"3131","Daniel Blair","27","A+","SFG","","","2","","1605","","","3246","",""
"3132","Zach Swanson","20","CPX","DET","","","1","","","","","2428","",""
"3133","Daichi Moriki","23","A","SDP","","2429.0","3","","","","1552","3857","","1878"
"3134","Juan Muniz","18","CPX","PIT","","","2","","","","","3199","","1664"
"3135","Chen-Hsun Lee","24","A","SFG","","","1","","","","","2433","",""
"3136","Tommy Kane","24","A+","WSN","","","2","","1762","","","3105","",""
"3137","Pablo Castillo","18","CPX","MIN","","","1","","","","","2437","",""
"3138","Jonathan Hughes","29","AA","ATL","","","2","","1531","","","3345","",""
"3139","Ethan Lanthier","23","A","NYM","","","1","","","","","2439","",""
"3140","Felix Castro","22","A","ATH","","","2","","1383","","","3496","",""
"3141","Ryan Hall","19","CPX","DET","","","1","","","","","2440","",""
"3142","Connor Gehr","20","CPX","BAL","","","2","","","","","3454","","1428"
"3143","Ryan Bruno","24","A","ARI","","","1","","","","","2441","",""
"3144","C.J. Widger","27","A+","SDP","","","2","","1912","","","2971","",""
